url,label,first_seen,registrable_domain,suffix,source
https://www.dropbox.com/scl/fi/5qqnhzg9h9g5wrzq2xpjd/BT-VOICE-MESSAGE.paper?rlkey=ueaai8m6f8mbfhcbr3ho5casn&st=jwkrkjgv&dl=0,1,2024-11-14 20:50:59+00:00,dropbox.com,com,phishtank
https://l.wl.co/l?u=https://qr-codes.io/EXfb1S,1,2025-08-02 01:01:30+00:00,wl.co,co,phishtank
https://q-r.to/bfEg7s,1,2024-07-17 00:53:48+00:00,q-r.to,to,phishtank
http://allegrolokalnie.209089883cc.shop/,1,2026-06-27 17:48:01+00:00,209089883cc.shop,shop,phishtank
https://interpella005e0.firebaseapp.com/,1,2024-01-13 00:13:34+00:00,firebaseapp.com,com,phishtank
https://qrco.de/bgbLYC,1,2026-02-05 17:13:41+00:00,qrco.de,de,phishtank
https://docs.google.com/presentation/d/e/2PACX-1vQRvVG65vKqOFlR-i50BofPXudVBAqEDMcNUDA0ESgFn8qgf6cxhw8JWTzAoMphRZHICwEuVcAW8s7B/pub?start=false&loop=false&delayms=3000,1,2023-02-28 13:45:19+00:00,google.com,com,phishtank
http://1ad-i2h-riy-9ry-idi-x6lt8n.pages.dev/,1,2026-07-14 21:16:07+00:00,pages.dev,dev,phishtank
https://bit.ly/4fhZ4l8,1,2024-11-12 20:29:34+00:00,bit.ly,ly,phishtank
https://www.jotform.com/app/251741779057567,1,2025-09-02 13:39:42+00:00,jotform.com,com,phishtank
https://qrco.de/bfMSao,1,2024-09-04 23:24:11+00:00,qrco.de,de,phishtank
https://clozer.io/autopass,1,2025-05-28 07:01:50+00:00,clozer.io,io,phishtank
https://packett-id.web.app/,1,2023-03-18 01:37:26+00:00,web.app,app,phishtank
http://islahat.az/link.html,1,2025-08-15 12:46:36+00:00,islahat.az,az,phishtank
http://kucoin-loginm.webflow.io/,1,2026-03-20 18:29:24+00:00,webflow.io,io,phishtank
https://photo-bubble.firebaseapp.com/,1,2024-09-14 01:20:25+00:00,firebaseapp.com,com,phishtank
https://clayterr4986.weebly.com/,1,2026-08-06 03:21:15+00:00,weebly.com,com,phishtank
https://www.mediafire.com/policy_violation/terms_of_service.php,0,2026-09-12 20:03:41+00:00,mediafire.com,com,tranco:top-1m-20260913
https://www.icmktg.n0c.world/9gMo0-wero/bk/?montant=121.50,1,2026-06-02 13:44:22+00:00,n0c.world,world,phishtank
http://allegrolokalnie.pl5829462.lat/oferta/playstation-5-pro-zestaw-komplet,1,2026-05-09 14:26:13+00:00,pl5829462.lat,lat,phishtank
https://jefgoakjaaa.blogspot.com/,1,2024-08-02 13:28:45+00:00,blogspot.com,com,phishtank
https://82db346f-64aa-4d0b-92cf-f635f34a330c-00-2gve7ebk35g2h.worf.replit.dev/,1,2026-05-22 20:00:32+00:00,replit.dev,dev,phishtank
http://trezor-secure-suitehub.framer.ai/,1,2026-06-26 14:00:28+00:00,framer.ai,ai,phishtank
https://qr-codes.io/1PNYUp,1,2026-04-26 23:40:03+00:00,qr-codes.io,io,phishtank
https://viaverde-seguranca.com/steps/billing.php,1,2026-06-24 17:10:25+00:00,viaverde-seguranca.com,com,phishtank
https://helpid9947395718491859388111.firebaseapp.com/,1,2023-05-12 00:25:42+00:00,firebaseapp.com,com,phishtank
https://l.ead.me/bgcWuq,1,2026-02-14 22:47:24+00:00,ead.me,me,phishtank
https://creditoenlineaecuador-2026-w-23--ecuadorcredire.replit.app/,1,2026-06-27 00:33:13+00:00,replit.app,app,phishtank
