url,label,source,first_seen,domain_in_train,extension_disposition,note
https://liadm.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://virginm.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://vedcdnlb.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://nflxso.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://amazon.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://myspace.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://microsoft.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://ikea.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://kunluncan.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://state.gov/,0,tranco-head,,False,,tranco rank band 1-1000
https://independent.co.uk/,0,tranco-head,,False,,tranco rank band 1-1000
https://iiko.it/,0,tranco-head,,False,,tranco rank band 1-1000
https://docker.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://usatoday.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://gandi.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://ailawandorder.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://ax-msedge.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://azure-devices.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://nginx.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://samsungacr.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://teads.tv/,0,tranco-head,,False,,tranco rank band 1-1000
https://dual-s-msedge.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://fwmrm.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://trafficmanager.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://tiktokcdn.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://resolver.arpa/,0,tranco-head,,False,,tranco rank band 1-1000
https://asus.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://onet.pl/,0,tranco-head,,False,,tranco rank band 1-1000
https://steamserver.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://apnews.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://namebrightdns.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://a2z.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://britannica.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://fifa.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://googletagservices.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://agora.io/,0,tranco-head,,False,,tranco rank band 1-1000
https://wikimedia.org/,0,tranco-head,,False,,tranco rank band 1-1000
https://caixa.gov.br/,0,tranco-head,,False,,tranco rank band 1-1000
https://edgcdn.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://theverge.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://google.cn/,0,tranco-head,,False,,tranco rank band 1-1000
https://shalltry.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://mhverifier.ru/,0,tranco-head,,False,,tranco rank band 1-1000
https://segment.io/,0,tranco-head,,False,,tranco rank band 1-1000
https://aaplimg.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://bunnyinfra.net/,0,tranco-head,,False,,tranco rank band 1-1000
https://elpais.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://duolingo.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://vk.ru/,0,tranco-head,,False,,tranco rank band 1-1000
https://moloco.com/,0,tranco-head,,False,,tranco rank band 1-1000
https://tiktokw.us/,0,tranco-head,,False,,tranco rank band 1-1000
