url,label,first_seen,registrable_domain,suffix,source
https://www.ihg.com/holidayinnresorts/hotels/us/en/reservation,0,2026-09-12 21:05:43+00:00,ihg.com,com,tranco:top-1m-20260913
https://go.microsoft.com/fwlink/?linkid=2300282&clcid=0x409,0,2026-09-12 20:09:16+00:00,microsoft.com,com,tranco:top-1m-20260913
https://aagev.com/link/u4Nu4jWBWQ,1,2026-09-09 14:06:40+00:00,aagev.com,com,phishtank
https://mgyk.shop/soFbneFy/,1,2026-09-01 22:55:48+00:00,mgyk.shop,shop,phishtank
https://dac8actifs.com/exchange,1,2026-09-04 17:06:35+00:00,dac8actifs.com,com,phishtank
https://www.zdnet.com/article/best-antivirus-2026/,0,2026-09-12 20:59:59+00:00,zdnet.com,com,tranco:top-1m-20260913
http://wechat.com/,0,2026-09-12 20:59:59+00:00,wechat.com,com,tranco:top-1m-20260913
https://uk.wikisource.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D0%BE%D1%80%D1%96%D0%BD%D0%BA%D0%B0,0,2026-09-12 21:49:13+00:00,wikisource.org,org,tranco:top-1m-20260913
https://www.filmweb.pl/news/Steven+Knight+potwierdza%2C+%C5%BCe+sko%C5%84czy%C5%82+pierwsz%C4%85+wersj%C4%99+scenariusza+nowego+filmu+o+Jamesie+Bondzie-168561,0,2026-09-12 20:53:43+00:00,filmweb.pl,pl,tranco:top-1m-20260913
https://sxmxn.com/review/AePYuvjmpM,1,2026-09-12 05:32:26+00:00,sxmxn.com,com,phishtank
https://www.mbga.jp/_game_intro?game_id=12027263,0,2026-09-12 20:53:43+00:00,mbga.jp,jp,tranco:top-1m-20260913
https://p.hatena.ne.jp/p/1508347822422888448/t/1547777452950949888,0,2026-09-12 21:49:13+00:00,hatena.ne.jp,ne.jp,tranco:top-1m-20260913
https://www.hindustantimes.com/ht-insight/knowledge,0,2026-09-12 21:49:13+00:00,hindustantimes.com,com,tranco:top-1m-20260913
http://uranai.nosv.org/find.php/%E3%82%AD%E3%83%A3%E3%83%A9%E5%8D%A0%E3%81%84,0,2026-09-12 20:53:43+00:00,nosv.org,org,tranco:top-1m-20260913
https://www.entrepreneur.com/topic/strategic-planning,0,2026-09-12 21:49:13+00:00,entrepreneur.com,com,tranco:top-1m-20260913
https://live.invoice.vult.authenticat0r.buzz/,1,2026-08-28 14:45:56+00:00,authenticat0r.buzz,buzz,phishtank
https://www.livescore.com/en/news/publishers/,0,2026-09-12 20:53:43+00:00,livescore.com,com,tranco:top-1m-20260913
https://shifanglc.com/view/radfTprBTd,1,2026-09-05 04:43:54+00:00,shifanglc.com,com,phishtank
https://support.xbox.com/help/family-online-safety/browse,0,2026-09-12 19:59:27+00:00,xbox.com,com,tranco:top-1m-20260913
https://handle.net/prefix.html,0,2026-09-12 22:13:18+00:00,handle.net,net,tranco:top-1m-20260913
