url,label,first_seen,first_snapshot,snapshot_anchor,survival_stratum,split_group,is_hosted_tenant,registrable_domain,suffix,source
https://media.pracuj.pl/406089-system-nie-dla-nich-neuroatypowi-pracownicy-fizyczni-czuja-sie-zagubieni-i-nieslyszani,0,2026-08-14 06:56:49+00:00,,file-max,na,pracuj.pl,False,pracuj.pl,pl,cc:CC-MAIN-2026-34
https://menez.tjcr5781135.pro/captcha.php,1,2026-08-07 11:39:44+00:00,2026-09-12,openphish-run-stamp,long,tjcr5781135.pro,False,tjcr5781135.pro,pro,phishtank
http://allegrolokalnie.oferta-lokalana2849354363.shop/,1,2026-07-28 07:27:50+00:00,2026-09-12,openphish-run-stamp,long,oferta-lokalana2849354363.shop,False,oferta-lokalana2849354363.shop,shop,phishtank
https://marislittlecorner.blogspot.com/2012/03/cooking-thursday_14.html,0,2026-07-20 16:43:26+00:00,,file-max,na,marislittlecorner.blogspot.com,True,blogspot.com,com,cc:CC-MAIN-2026-30
https://documentation.n-able.com/remote-management/userguide/Content/Ecoverse-views/ui-overview-vulnmgt.htm,0,2026-08-12 05:41:29+00:00,,file-max,na,n-able.com,False,n-able.com,com,cc:CC-MAIN-2026-34
http://sp12ct-framik-biz-zensor-kaldok.pages.dev/,1,2026-08-07 02:59:20+00:00,2026-09-12,openphish-run-stamp,long,sp12ct-framik-biz-zensor-kaldok.pages.dev,True,pages.dev,dev,phishtank
https://mediacentre.cbc.ca/terms-of-use,0,2026-08-09 19:23:12+00:00,,file-max,na,cbc.ca,False,cbc.ca,ca,cc:CC-MAIN-2026-34
https://labs.geocaching.com/goto/kks,0,2026-08-19 05:39:28+00:00,,file-max,na,geocaching.com,False,geocaching.com,com,cc:CC-MAIN-2026-34
https://hkdo-eq8-snu-q2od2-cfz3-4seu6.pages.dev/,1,2026-07-31 16:45:04+00:00,2026-09-12,openphish-run-stamp,long,hkdo-eq8-snu-q2od2-cfz3-4seu6.pages.dev,True,pages.dev,dev,phishtank
https://status.reallusion.com/,0,2026-08-09 21:49:43+00:00,,file-max,na,reallusion.com,False,reallusion.com,com,cc:CC-MAIN-2026-34
https://resanta.ru/motobur-resanta-mb-52/,0,2026-08-10 08:35:19+00:00,,file-max,na,resanta.ru,False,resanta.ru,ru,cc:CC-MAIN-2026-34
http://sp12ct-kelvok-biz-zarmel-hentor.pages.dev/,1,2026-08-07 03:00:03+00:00,2026-09-12,openphish-run-stamp,long,sp12ct-kelvok-biz-zarmel-hentor.pages.dev,True,pages.dev,dev,phishtank
https://www.dizionario-latino.com/dizionario-latino-flessione.php?lemma=FOEDERIFRAGUS100,0,2026-08-08 19:41:21+00:00,,file-max,na,dizionario-latino.com,False,dizionario-latino.com,com,cc:CC-MAIN-2026-34
https://first-light-service-374685.weebly.com/,1,2026-08-06 03:22:16+00:00,2026-09-12,openphish-run-stamp,long,first-light-service-374685.weebly.com,True,weebly.com,com,phishtank
http://www.dns.jp/,0,2026-07-20 04:16:46+00:00,,file-max,na,dns.jp,False,dns.jp,jp,cc:CC-MAIN-2026-30
